Group,ID,Male,Took_Chem,HS_GPA,M_SAT,M_ACT,Math_Pass,Math_A,Chem_Pass,Chem_A,cGPA,s23GPA,Alg_Intv,dMAI
0,37,1,1,4.23,,24,1,0,1,0,2.867,2.6667,,
0,38,1,1,4.03,520,,1,0,1,0,3.439,3.4667,,
0,39,1,1,4.2,540,,0,0,0,0,2.259,2,,
0,40,1,0,3.33,530,,1,0,,,2.897,3,,
0,41,1,1,2.64,560,,1,0,1,0,2.429,1.6923,,
0,42,1,1,4.06,590,,1,0,1,0,2.793,2.9286,,
0,43,1,0,3.17,510,,1,0,,,3.069,3.0769,,
0,44,0,1,3.89,,25,0,0,0,0,2.923,2.4375,,
0,45,1,1,3.75,520,,0,0,0,0,0.37,0,,
0,46,0,1,3.59,500,21,0,0,0,0,0.75,0,,
0,47,0,1,4.25,510,23,1,0,1,0,3.684,3.25,1,
